forca_sinal,velocidade_download,velocidade_upload,jitter,latencia,perda
-66,14602617.640523246,2019914.366072474,1.0148930549621582,45.30485471089681,0.0
-66,17224901.759162918,2586282.1411983767,1.0139436721801758,16.32388432820638,0.0
-65,16388600.129225673,1847956.2702539125,1.0054130554199219,853.3020814259847,0.0
-65,17570444.979137085,2561041.3414065354,1.0001189708709717,1062.7431869506836,0.0
-66,9996597.330096638,2875077.519369333,1.0076172351837158,778.0737082163492,0.0
-64,14420228.107034974,2399779.7034972836,1.0209074020385742,16.32412274678548,0.0
-64,12015685.957919748,2353982.296911986,1.010305643081665,34.97759501139323,0.0
-64,9636410.949102828,2270853.424726903,1.007659912109375,14.65757687886556,0.0
-65,15250280.684773784,1823807.3663273312,1.003312349319458,17.655213673909504,0.0
-64,14045844.289725564,1945114.417101887,1.0007412433624268,35.312255223592125,0.0
-65,18022559.423727024,2315331.0256916247,1.0124497413635254,289.55690066019696,0.0
-64,16377116.274907103,2643443.3200414153,1.0134048461914062,967.6102002461752,0.0
-64,6656404.7360269865,2244778.481942592,1.0118677616119385,278.92319361368817,0.0
-65,11920954.622190075,2026092.357189163,1.0025131702423096,1432.1375687917073,0.0
-65,12959688.133792195,1999681.3328256693,1.014915943145752,1987.4778588612874,0.0
-64,7300873.84260096,2348704.2101127845,1.002788782119751,1027.0615418752034,0.0
-64,10614907.106627747,2304522.1341158943,1.006556749343872,165.76298077901205,0.0
-65,13870096.389457136,2504613.721375287,1.013437032699585,361.191987991333,0.0
-64,14299863.548531102,1842490.373560429,1.0044076442718506,404.74963188171387,0.0
-63,16946222.046363793,3607458.4500334123,0.9923839569091797,251.47747993469238,0.0
-63,14129078.56493958,2016424.7811623944,1.006791353225708,17.320950826009113,33.0
-65,7248492.845352575,2199728.482035167,1.0159955024719238,481.4442793528239,0.0
-65,7802428.287095188,2045195.874489724,1.0089948177337646,906.7980448404948,0.0
-65,5728639.317255008,2171987.0138297025,1.0044591426849365,3324.9024550120034,0.0
-65,4676456.542596613,1852251.6919696587,1.0060713291168213,1118.9183394114177,0.0
-65,1384655.0747858814,2218941.60180914,1.0065157413482666,950.371503829956,0.0
-65,5762948.662712097,2199224.638600435,1.0075490474700928,142.78252919514975,0.0
-65,6683683.697144732,1768789.4307212483,1.0062425136566162,1752.7701059977214,0.0
-65,11784495.651910594,1757967.8900578592,1.010894775390625,251.36295954386392,0.0
-66,7307459.280351699,2183050.400381153,1.005861759185791,732.6091130574545,0.0
-66,1908097.2908379757,1573213.9748697756,1.082273006439209,1194.9178377787273,0.0
-65,11826173.39053169,2421128.8153687683,1.0054447650909424,23.025671641031902,0.0
